method	seed	n_tasks	n_solved	n_timeout	solve_rate	wall_seconds
m0rust	1000	30	30	0	1.0000	265.9
m1	1000	30	30	0	1.0000	263.9
m2	1000	30	5	9	0.1667	774.7
m3	1000	30	0	9	0.0000	765.3
m4	1000	30	1	9	0.0333	757.9
m5	1000	30	2	1	0.0667	297.9
m6	1000	30	14	2	0.4667	299.5
m7	1000	30	4	0	0.1333	0.0
