method	seed	n_tasks	n_solved	n_timeout	solve_rate	wall_seconds
m0rust	1000	12	2	0	0.1667	115.6
m0rust	1001	12	2	0	0.1667	113.2
m0rust	1002	12	2	0	0.1667	113.2
m0rust	1003	12	2	0	0.1667	113.8
m0rust	1004	12	2	0	0.1667	113.6
m1	1000	12	2	0	0.1667	116.7
m1	1001	12	2	0	0.1667	113.8
m1	1002	12	2	0	0.1667	114.4
m1	1003	12	2	0	0.1667	114.3
m1	1004	12	2	0	0.1667	113.6
