method	seed	n_tasks	n_solved	n_timeout	solve_rate	wall_seconds
m1	1000	12	12	0	1.0000	51.2
m1	1001	12	12	0	1.0000	51.7
m1	1002	12	12	0	1.0000	52.3
m1	1003	12	12	0	1.0000	51.6
m1	1004	12	12	0	1.0000	53.3
m1	1005	12	12	0	1.0000	51.7
m1	1006	12	12	0	1.0000	51.6
m1	1007	12	12	0	1.0000	50.3
m1	1008	12	12	0	1.0000	50.5
m1	1009	12	12	0	1.0000	52.2
