method	seed	n_tasks	n_solved	n_timeout	solve_rate	wall_seconds
m0rust	1000	30	13	0	0.4333	728.5
m1	1000	30	13	0	0.4333	735.5
m6	1000	30	15	0	0.5000	170.5
m7	1000	30	4	0	0.1333	0.0
