method	seed	n_tasks	n_solved	n_timeout	solve_rate	wall_seconds
m2	1000	12	1	0	0.0833	117.8
m2	1001	12	1	0	0.0833	117.7
m2	1002	12	1	0	0.0833	116.8
m2	1003	12	1	0	0.0833	118.8
m2	1004	12	1	0	0.0833	116.7
m2	1005	12	1	0	0.0833	114.3
m2	1006	12	1	0	0.0833	126.4
m2	1007	12	1	2	0.0833	245.8
m2	1008	12	2	0	0.1667	153.9
m2	1009	12	1	0	0.0833	152.2
