method	seed	n_tasks	n_solved	n_timeout	solve_rate	wall_seconds
m0rust	1000	12	3	0	0.2500	39.7
m0rust	1001	12	3	0	0.2500	42.7
m0rust	1002	12	3	0	0.2500	43.0
m0rust	1003	12	3	0	0.2500	42.6
m0rust	1004	12	3	0	0.2500	41.4
m1	1000	12	3	0	0.2500	43.7
m1	1001	12	3	0	0.2500	43.6
m1	1002	12	3	0	0.2500	43.1
m1	1003	12	3	0	0.2500	42.8
m1	1004	12	3	0	0.2500	43.7
